ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Chủ đề
Q016,Năm 2026 kỷ niệm bao nhiêu năm thành lập Đảng Cộng sản Việt Nam?,90,95,96,100,C,Năm 2026 kỷ niệm 96 năm thành lập Đảng (1930-2026),Lịch sử Đảng
Q017,Chủ tịch Hồ Chí Minh sinh ngày tháng năm nào?,19/05/1890,02/09/1890,19/05/1889,19/08/1890,A,Bác Hồ sinh ngày 19/5/1890 tại Nghệ An,Lịch sử
Q018,Lời thề danh dự của CAND có mấy điều?,3,5,6,10,B,5 lời thề danh dự của CAND Việt Nam,Tư tưởng
Q019,Nghị quyết Trung ương 4 khóa XII về vấn đề gì?,Phòng chống tham nhũng,Tăng cường xây dựng chỉnh đốn Đảng,Phát triển kinh tế,Đối ngoại,B,NQ TW 4 khóa XII về tăng cường xây dựng chỉnh đốn Đảng,Tư tưởng
Q020,Quốc khánh nước CHXHCN Việt Nam là ngày nào?,30/04/1975,02/09/1945,19/08/1945,07/05/1954,B,Ngày 2/9/1945 Bác Hồ đọc Tuyên ngôn Độc lập,Lịch sử
Q021,Bộ luật An ninh mạng có hiệu lực từ ngày nào?,01/01/2018,01/01/2019,01/07/2018,01/06/2019,B,Luật An ninh mạng có hiệu lực từ 01/01/2019,Pháp luật
Q022,"""4 chữ vàng"" Bác Hồ tặng phụ nữ Việt Nam là gì?","Anh hùng, bất khuất, trung hậu, đảm đang",Cần kiệm liêm chính,Đoàn kết đại đoàn kết,"Trung dũng, kiên cường",A,Bác Hồ tặng phụ nữ VN 8 chữ vàng,Tư tưởng
Q023,Tổng Bí thư Nguyễn Phú Trọng qua đời vào năm nào?,2022,2023,2024,2025,C,"Tổng Bí thư Nguyễn Phú Trọng từ trần ngày 19/7/2024",Chính trị
Q024,Ai hiện là Tổng Bí thư Ban Chấp hành Trung ương Đảng?,Đồng chí Tô Lâm,Đồng chí Phạm Minh Chính,Đồng chí Vương Đình Huệ,Đồng chí Lương Cường,A,"Đồng chí Tô Lâm được bầu làm Tổng Bí thư từ 8/2024",Chính trị
Q025,Đảng bộ Công an Trung ương được thành lập năm nào?,1945,1953,1962,1981,C,Đảng bộ CATW thành lập năm 1962,Lịch sử
Q026,Khẩu hiệu nào KHÔNG phải của lực lượng CAND?,Vì nước quên thân,Vì dân phục vụ,Còn Đảng còn mình,Đoàn kết kỷ luật văn minh,D,3 khẩu hiệu đầu là của CAND,Tư tưởng
Q027,Tỉnh Phú Thọ có bao nhiêu đơn vị hành chính cấp huyện sau sáp nhập 2025?,11,12,13,15,C,Phú Thọ có 13 đơn vị hành chính cấp huyện,Địa phương
Q028,Ngày toàn dân bảo vệ ANTQ là ngày nào?,19/8,19/5,19/8/1945,Tất cả đều sai,A,Ngày 19/8 hàng năm là Ngày Toàn dân bảo vệ ANTQ,Lịch sử
Q029,Đại hội Đảng XIII xác định mục tiêu đến năm 2030 nước ta đạt mức nào?,Nước đang phát triển có công nghiệp hiện đại,Thu nhập trung bình cao,Thu nhập cao,Phát triển,B,Mục tiêu đến 2030 là nước đang phát triển có thu nhập trung bình cao,Chính trị
Q030,Mục tiêu đến năm 2045 nước ta phấn đấu trở thành?,Nước có thu nhập trung bình,Nước có công nghiệp hiện đại,Nước phát triển thu nhập cao,Cường quốc kinh tế,C,Mục tiêu 2045 trở thành nước phát triển thu nhập cao,Chính trị
Q031,"""Học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh"" theo chỉ thị số mấy?",Chỉ thị 03,Chỉ thị 05,Chỉ thị 06,Chỉ thị 23,B,Chỉ thị 05-CT/TW ngày 15/5/2016,Tư tưởng
Q032,Người sáng lập Đảng Cộng sản Việt Nam là ai?,Lê Hồng Phong,Trần Phú,Nguyễn Ái Quốc,Phan Chu Trinh,C,"Đồng chí Nguyễn Ái Quốc (Hồ Chí Minh) chủ trì hội nghị thành lập Đảng",Lịch sử Đảng
Q033,Thời kỳ đổi mới của Việt Nam bắt đầu từ Đại hội nào?,Đại hội IV,Đại hội V,Đại hội VI,Đại hội VII,C,Đại hội VI (12/1986) đánh dấu thời kỳ đổi mới,Lịch sử Đảng
Q034,Năm 2026 kỷ niệm bao nhiêu năm Ngày toàn dân bảo vệ ANTQ?,18,19,20,21,D,2026-2005 = 21 năm (Ngày 19/8 hằng năm theo QĐ 521/QĐ-TTg ngày 13/6/2005),Lịch sử
Q035,Nguyên tắc tổ chức cơ bản của Đảng là gì?,Tập trung dân chủ,Đoàn kết thống nhất,Tự phê bình và phê bình,Tất cả phương án trên,A,Tập trung dân chủ là nguyên tắc tổ chức cơ bản,Tư tưởng
Q036,"""Cách mạng 4.0"" trong văn kiện Đảng được nhắc đến lần đầu trong Đại hội nào?",Đại hội XI,Đại hội XII,Đại hội XIII,Đại hội X,B,Đại hội XII đề cập cách mạng công nghiệp 4.0,Chính trị
Q037,Trong 4 nguy cơ Đảng ta xác định nguy cơ nào nguy hiểm nhất?,Tụt hậu,Chệch hướng XHCN,Tham nhũng,"""Diễn biến hòa bình""",B,Chệch hướng XHCN là nguy cơ nguy hiểm nhất,Tư tưởng
Q038,Phú Thọ và Vĩnh Phúc sáp nhập vào năm nào?,2024,2025,2026,Chưa sáp nhập,B,2 tỉnh sáp nhập từ 01/7/2025,Địa phương
Q039,Tỉnh Phú Thọ mới (sau sáp nhập 2025) có bao nhiêu xã/phường?,148,156,164,172,A,Phú Thọ mới có 148 xã/phường sau sáp nhập,Địa phương
Q040,Thủ đô của Việt Nam là?,Hà Nội,TP. Hồ Chí Minh,Đà Nẵng,Huế,A,Hà Nội là thủ đô từ 1945,Địa lý
Q041,Cờ Đảng có biểu tượng gì?,Sao vàng,Búa liềm,Mặt trời,Lúa và sao,B,Cờ Đảng nền đỏ búa liềm vàng,Tư tưởng
Q042,"Bộ Công an Việt Nam được thành lập trên cơ sở Sắc lệnh số 23/SL ngày 21/2/1946, do ai ký?",Hồ Chí Minh,Võ Nguyên Giáp,Trần Phú,Lê Duẩn,A,Chủ tịch Hồ Chí Minh ký Sắc lệnh 23/SL,Lịch sử
Q043,Việt Nam gia nhập ASEAN vào năm nào?,1985,1995,2005,2007,B,Việt Nam gia nhập ASEAN ngày 28/7/1995,Đối ngoại
Q044,Ngày Pháp luật Việt Nam là ngày nào?,02/9,19/5,09/11,28/11,C,Ngày 9/11 hàng năm theo Luật Phổ biến giáo dục pháp luật 2012,Pháp luật
Q045,Số lượng tỉnh/thành phố trực thuộc TW của Việt Nam sau sáp nhập 2025 là?,63,58,34,28,C,Sau sáp nhập 2025 còn 34 tỉnh/thành,Địa lý
Q046,"""Bốn không"" trong chính sách quốc phòng Việt Nam là gì?","Không liên minh quân sự, không dựa vào nước này chống nước kia, không cho nước ngoài đặt căn cứ, không sử dụng vũ lực trước",Không tham chiến,Không xuất khẩu vũ khí,Không can thiệp,A,4 không là chính sách quốc phòng VN trong Sách trắng QP 2019,Quốc phòng
Q047,Cuộc Tổng tiến công Mậu Thân nổ ra năm nào?,1968,1972,1973,1975,A,Tổng tiến công Mậu Thân 1968,Lịch sử
Q048,Hiệp định Paris về Việt Nam ký năm nào?,1954,1973,1975,1995,B,Hiệp định Paris ký ngày 27/01/1973,Lịch sử
Q049,Năm 2026 kỷ niệm bao nhiêu năm thống nhất đất nước?,49,50,51,52,C,2026-1975 = 51 năm,Lịch sử
Q050,Phương châm 16 chữ vàng giữa Việt Nam và Trung Quốc là gì?,"Láng giềng hữu nghị, hợp tác toàn diện","Láng giềng hữu nghị, hợp tác toàn diện, ổn định lâu dài, hướng tới tương lai",Đoàn kết hữu nghị,16 chữ vàng,B,Phương châm 16 chữ vàng quan hệ Việt-Trung,Đối ngoại
