Ngày tạo,Chủ đề,Luận điệu sai trái,Luận điểm phản bác,Bằng chứng,Nguồn
2026-01-01,Quân đội nhân dân,"Đòi ""phi chính trị hóa"" quân đội, tách Đảng khỏi quân đội","Quân đội nhân dân là ""quân đội của nhân dân, do nhân dân, vì nhân dân"", đặt dưới sự lãnh đạo tuyệt đối, trực tiếp về mọi mặt của Đảng. Đây là nguyên tắc xuyên suốt đảm bảo bản chất chính trị, quyết định thắng lợi của QĐND VN. Bài học lịch sử cho thấy quân đội ""phi chính trị"" thực chất là sa vào chính trị tư sản.","Sách trắng Quốc phòng. Lịch sử 80 năm QĐND VN","Tổng cục Chính trị QĐND"
2026-01-01,Công an nhân dân,"Cáo buộc Công an đàn áp người dân, lạm quyền","CAND là ""của dân, do dân, vì dân"". 6 điều Bác Hồ dạy CAND chỉ rõ phải kính trọng nhân dân, đoàn kết và giúp đỡ nhân dân. CAND làm việc theo Hiến pháp và pháp luật, mọi hành vi vi phạm đều bị xử lý nghiêm. Tỷ lệ tin tưởng của nhân dân vào CAND luôn ở mức cao trên 90%.","6 điều Bác Hồ dạy CAND. Luật CAND 2018. Điều tra dư luận xã hội","Bộ Công an"
2026-01-01,Quyền con người,"Cho rằng VN không bảo đảm quyền con người","Hiến pháp 2013 dành cả chương 2 (36 điều) quy định về quyền con người, quyền và nghĩa vụ cơ bản của công dân. Việt Nam đã đạt nhiều thành tựu nhân quyền: tỷ lệ hộ nghèo từ 60% (1990) còn 2,93% (2023), chỉ số HDI tăng nhanh, an sinh xã hội phủ rộng, bình đẳng giới ấn tượng.","Hiến pháp 2013 Chương 2. Báo cáo phát triển con người UNDP. Chỉ số HDI VN","Cổng thông tin Chính phủ"
2026-01-01,Quan hệ Việt - Mỹ,"Một số ý kiến muốn VN từ bỏ CNXH để liên minh với Mỹ","VN xác định Mỹ là đối tác quan trọng, đã nâng cấp quan hệ lên Đối tác chiến lược toàn diện (9/2023). Tuy nhiên VN không từ bỏ con đường XHCN. Hợp tác với Mỹ trên nền tảng tôn trọng độc lập chủ quyền, không can thiệp công việc nội bộ. Đây là quan hệ bình đẳng, cùng có lợi.","Tuyên bố chung Việt - Mỹ tháng 9/2023. Đối tác chiến lược toàn diện","Bộ Ngoại giao"
2026-01-01,Chủ quyền biển đảo,"Cho rằng Đảng và Nhà nước ""nhân nhượng"" về chủ quyền biển đảo","Việt Nam kiên trì đấu tranh bảo vệ chủ quyền theo luật pháp quốc tế, đặc biệt UNCLOS 1982. VN có đầy đủ bằng chứng lịch sử và pháp lý về Hoàng Sa, Trường Sa. Phương châm vừa đấu tranh quyết liệt, vừa giữ gìn môi trường hòa bình, tránh xung đột. Đây là chính sách khôn ngoan và đúng đắn.","UNCLOS 1982. Sách trắng về chủ quyền biển đảo. Hồ sơ pháp lý quốc tế","Bộ Ngoại giao"
2026-01-01,Cải cách hành chính,"Cho rằng cải cách hành chính VN ""giậm chân tại chỗ""","Việt Nam đẩy mạnh cải cách hành chính với nhiều kết quả: tỷ lệ TTHC trực tuyến mức độ 4 đạt 90%, Cổng dịch vụ công Quốc gia với 4000+ thủ tục, Đề án 06 ứng dụng dữ liệu dân cư cho chuyển đổi số quốc gia. Chỉ số CCHC của các bộ ngành, địa phương được công bố công khai hằng năm.","Đề án 06. Cổng dịch vụ công Quốc gia. Báo cáo PAR Index","Bộ Nội vụ"
2026-01-01,Lãnh đạo của Đảng với hệ thống chính trị,"Cho rằng cần tách Đảng khỏi Nhà nước theo mô hình ""tam quyền phân lập""","Việt Nam có sự phân công, phối hợp giữa lập pháp, hành pháp, tư pháp nhưng dưới sự lãnh đạo thống nhất của Đảng. Mô hình ""tam quyền phân lập"" kiểu phương Tây không phù hợp với điều kiện VN. Sự lãnh đạo của Đảng đảm bảo tính thống nhất, hiệu lực, hiệu quả của hệ thống chính trị.","Hiến pháp 2013. Cương lĩnh xây dựng đất nước trong thời kỳ quá độ lên CNXH (bổ sung phát triển 2011)","Văn kiện Đại hội XIII"
2026-01-01,Đường lối đối ngoại,"Cho rằng VN ""cô lập"" trên trường quốc tế","Việt Nam có quan hệ ngoại giao với 193 quốc gia, là thành viên của hầu hết tổ chức quốc tế lớn. VN nâng cấp thành công nhiều quan hệ đối tác chiến lược toàn diện. Vai trò và uy tín VN ngày càng tăng: 2 lần làm Ủy viên không thường trực HĐBA LHQ, Chủ tịch ASEAN 2020, APEC 2017.","193 quốc gia có quan hệ ngoại giao. UVKT HĐBA LHQ 2020-2021. Đăng cai nhiều sự kiện quốc tế","Bộ Ngoại giao"
2026-01-01,Tự do internet,"Cáo buộc VN ""kiểm duyệt"" internet, hạn chế tự do mạng","VN có hơn 77 triệu người dùng internet (78% dân số), tốc độ internet tăng mạnh, là một trong những nước có tốc độ phát triển internet nhanh nhất khu vực. Luật An ninh mạng chỉ điều chỉnh các hoạt động vi phạm pháp luật trên không gian mạng, bảo vệ trẻ em, chống tội phạm mạng - như tất cả các nước trên thế giới.","77+ triệu người dùng internet. Luật An ninh mạng 2018. Báo cáo We Are Social","Bộ TT&TT, Cục An toàn thông tin"
2026-01-01,Đảng viên trẻ,"Cho rằng giới trẻ ""quay lưng"" với Đảng","Tỷ lệ đảng viên trẻ phát triển ổn định, hàng năm kết nạp 150.000+ đảng viên mới, đa số là thanh niên. Đoàn TNCS Hồ Chí Minh có hơn 6 triệu đoàn viên, hoạt động sôi nổi, phong phú. Các phong trào ""Tuổi trẻ sáng tạo"", ""Thanh niên tình nguyện"", ""3 nhất"" thu hút đông đảo đoàn viên thanh niên.","150.000+ đảng viên mới/năm. 6+ triệu đoàn viên TN. Các phong trào Đoàn","Trung ương Đoàn TNCS HCM"
